


// @todo 里|裏|裡

餘毒|0x100000|47255
餘波|0x100000|26791
餘温|0x100000|791
餘烬|0x100000|39642
餘热|0x100000|20488
餘生|0x100000|24860
餘留|0x1000|1008
餘粮|0x100000|18861
餘缺|0x100000|33714
餘蓄|0x100000|1540
餘裕|0x0080|1045
余角|0x100000|1200
餘辉|0x100000|772
餘量|0x100000|960
餘钱|0x100000|39017
餘震|0x100000|29914
餘音|0x100000|26587
餘韵|0x100000|39213
餘额|0x100000|6454
餘风|0x100000|53535
餘香|0x100000|792

留餘地|0x1000|42965
不留餘地|0x1000000|931

//

癒合|0x1000|18704

//

無盡|0x8001000|13709

无盡无休|0x9001000|50367
无盡无穷|0x9001000|100
无穷无盡|0x9001000|19199

//

心臟|0x100000|5250
心臟外科|0x100000|1043
心臟病|0x100000|8522
心臟病科|0x100000|0
心臟科|0x100000|1077
心臟镜|0x100000|0

肝臟|0x100000|14116

内臟器官|0x100000|446
臟器|0x100000|24541

// -------------

新曆|0x100000|52048

防範|0x101000|3532

// --------

别緻|0x40000000|12112
标緻|0x40000000|15639
精緻|0x40000000|8418
密致|0x40000000|1205











